Name,Brand,Current Price,Original Price,Discount %,Strap Colour,Strap Type,Watch Shape,Display Size,Display Type,Calorie Count,Step Count,Heart Rate Monitor,Health Features,Smart Functions
"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notifications, Mu...more",WTG,₹704,₹685,65% OFF,Black,Leather,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
"GameSir 5G Smartphone activepinkg, Women's Health suite, Sleek Di...more",GameSir,"₹1,349","₹1,365",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
TECHMAZE Gen 9 Model Fitness Health Music Smartwatch: The Next Ge...more,TECHMAZE,"₹1,478","₹1,499",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notifications, Va...more",WTG,₹682,₹691,77% OFF,Black,Metal,Round,"8""",LCD/TFT,NO,NO,YES,Heart Rate,BT Calling
"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT Calling Lu...more",WTG,"₹1,349",₹697,62% OFF,Black,Metal,Round,"8""",AMOLED,YES,YES,YES,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling
GameSir Gen 9 Model Fitness Health Music Play Smartwatch: The Nex...more,GameSir,"₹1,351","₹1,461",62% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
"WTG i8 Pink 1.69"" HD Display Bluetooth Calling, Notifications, Va...more",WTG,₹697,₹712,77% OFF,Black,Leather,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
Nikki Trades Gen 9 Model Fitness Health Music Smartwatch: The Nex...more,Nikki,"₹1,478","₹2,164",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
"OXILAG Luxury Gen9 Girls smart watch with Extra strap , Calling N...more",OXILAG,"₹1,447","₹1,461",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"Lifelong Luxury Smart Watch for Women |1.39 Inch HD Display, IP67...more",Lifelong,"₹4,999","₹1,999",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
